day_name,hour,yhat
Monday,0,2017
Monday,1,1454
Monday,2,816
Monday,3,243
Monday,4,-15
Monday,5,205
Monday,6,821
Monday,7,1540
Monday,8,2071
Monday,9,2321
Monday,10,2406
Monday,11,2493
Monday,12,2623
Monday,13,2708
Monday,14,2664
Monday,15,2554
Monday,16,2560
Monday,17,2818
Monday,18,3264
Monday,19,3673
Monday,20,3783
Monday,21,3555
Monday,22,3122
Monday,23,2646
Tuesday,0,2183
Tuesday,1,1655
Tuesday,2,1048
Tuesday,3,504
Tuesday,4,272
Tuesday,5,516
Tuesday,6,1154
Tuesday,7,1892
Tuesday,8,2438
Tuesday,9,2697
Tuesday,10,2788
Tuesday,11,2877
Tuesday,12,3007
Tuesday,13,3088
Tuesday,14,3038
Tuesday,15,2918
Tuesday,16,2914
Tuesday,17,3161
Tuesday,18,3594
Tuesday,19,3974
Tuesday,20,4068
Tuesday,21,3824
Tuesday,22,3374
Tuesday,23,2884
Wednesday,0,2414
Wednesday,1,1869
Wednesday,2,1244
Wednesday,3,683
Wednesday,4,438
Wednesday,5,672
Wednesday,6,1303
Wednesday,7,2036
Wednesday,8,2578
Wednesday,9,2833
Wednesday,10,2921
Wednesday,11,3008
Wednesday,12,3139
Wednesday,13,3221
Wednesday,14,3172
Wednesday,15,3055
Wednesday,16,3056
Wednesday,17,3309
Wednesday,18,3750
Wednesday,19,4138
Wednesday,20,4239
Wednesday,21,4000
Wednesday,22,3556
Wednesday,23,3070
Thursday,0,2588
Thursday,1,2049
Thursday,2,1430
Thursday,3,874
Thursday,4,632
Thursday,5,867
Thursday,6,1497
Thursday,7,2228
Thursday,8,2767
Thursday,9,3018
Thursday,10,3101
Thursday,11,3182
Thursday,12,3305
Thursday,13,3378
Thursday,14,3320
Thursday,15,3194
Thursday,16,3183
Thursday,17,3425
Thursday,18,3854
Thursday,19,4229
Thursday,20,4318
Thursday,21,4069
Thursday,22,3615
Thursday,23,3120
Friday,0,2630
Friday,1,2085
Friday,2,1461
Friday,3,901
Friday,4,656
Friday,5,890
Friday,6,1520
Friday,7,2253
Friday,8,2796
Friday,9,3054
Friday,10,3146
Friday,11,3239
Friday,12,3375
Friday,13,3465
Friday,14,3425
Friday,15,3318
Friday,16,3329
Friday,17,3592
Friday,18,4044
Friday,19,4442
Friday,20,4556
Friday,21,4332
Friday,22,3904
Friday,23,3434
Saturday,0,2968
Saturday,1,2446
Saturday,2,1844
Saturday,3,1304
Saturday,4,1076
Saturday,5,1323
Saturday,6,1963
Saturday,7,2702
Saturday,8,3249
Saturday,9,3507
Saturday,10,3596
Saturday,11,3681
Saturday,12,3806
Saturday,13,3880
Saturday,14,3820
Saturday,15,3689
Saturday,16,3672
Saturday,17,3902
Saturday,18,4316
Saturday,19,4674
Saturday,20,4743
Saturday,21,4473
Saturday,22,3994
Saturday,23,3472
Sunday,0,2952
Sunday,1,2372
Sunday,2,1713
Sunday,3,1114
Sunday,4,825
Sunday,5,1011
Sunday,6,1589
Sunday,7,2267
Sunday,8,2753
Sunday,9,2954
Sunday,10,2989
Sunday,11,3022
Sunday,12,3098
Sunday,13,3126
Sunday,14,3025
Sunday,15,2858
Sunday,16,2808
Sunday,17,3010
Sunday,18,3401
Sunday,19,3741
Sunday,20,3798
Sunday,21,3521
Sunday,22,3043
Sunday,23,2526
